,Ticket,Survived
31,113514,0.0
34,113767,0.0
623,S.P. 3464,0.0
622,S.O.P. 1166,0.0
621,S.O.C. 14879,0.0
620,S.O./P.P. 751,0.0
619,S.O./P.P. 3,0.0
35,113773,0.0
617,S.C./A.4. 23567,0.0
39,113784,0.0
61,11771,0.0
41,113787,0.0
44,113792,0.0
46,113796,0.0
607,PC 17754,0.0
606,PC 17612,0.0
48,113800,0.0
603,PC 17609,0.0
52,113807,0.0
601,PC 17605,0.0
53,11668,0.0
156,248731,0.0
160,248747,0.0
463,370372,0.0
312,345780,0.0
323,347068,0.0
322,347067,0.0
321,347064,0.0
320,347063,0.0
319,347062,0.0
318,347061,0.0
317,347060,0.0
316,347054,0.0
315,3460,0.0
314,345783,0.0
313,345781,0.0
209,2689,0.0
352,349205,0.0
310,345778,0.0
309,345777,0.0
210,2690,0.0
307,345773,0.0
306,345770,0.0
305,345769,0.0
304,345767,0.0
303,345765,0.0
302,345764,0.0
301,345763,0.0
211,2691,0.0
324,347069,0.0
325,347071,0.0
326,347073,0.0
327,347074,0.0
350,349203,0.0
349,349201,0.0
348,348124,0.0
347,348123,0.0
346,348121,0.0
345,347743,0.0
199,2671,0.0
200,2672,0.0
342,347468,0.0
341,347466,0.0
201,2674,0.0
339,3474,0.0
203,2678,0.0
337,347088,0.0
336,347087,0.0
204,2680,0.0
205,2683,0.0
333,347082,0.0
206,2685,0.0
331,347080,0.0
330,347078,0.0
207,2686,0.0
328,347076,0.0
299,345364,0.0
298,343276,0.0
297,343275,0.0
228,28425,0.0
267,315096,0.0
266,315094,0.0
265,315093,0.0
264,315090,0.0
263,315089,0.0
262,315088,0.0
261,315086,0.0
260,315084,0.0
259,315082,0.0
258,315037,0.0
230,28664,0.0
256,312993,0.0
255,312992,0.0
231,28665,0.0
253,31028,0.0
232,29011,0.0
235,29104,0.0
250,3101296,0.0
249,3101295,0.0
238,29108,0.0
246,3101277,0.0
245,3101276,0.0
244,3101267,0.0
268,315097,0.0
270,315151,0.0
212,2693,0.0
227,28424,0.0
295,343095,0.0
294,342826,0.0
213,2694,0.0
292,341826,0.0
291,3411,0.0
290,336439,0.0
214,2695,0.0
215,2697,0.0
287,335097,0.0
286,334912,0.0
284,330979,0.0
217,2700,0.0
221,28134,0.0
281,330935,0.0
222,28206,0.0
223,28213,0.0
225,28228,0.0
226,28403,0.0
276,330909,0.0
275,330877,0.0
274,324669,0.0
273,323951,0.0
272,323592,0.0
351,349204,0.0
353,349206,0.0
462,370371,0.0
422,362316,0.0
433,364846,0.0
177,2628,0.0
431,364512,0.0
430,364511,0.0
429,364506,0.0
428,364500,0.0
427,364499,0.0
426,364498,0.0
425,363592,0.0
424,363294,0.0
178,2629,0.0
421,36209,0.0
354,349207,0.0
420,358585,0.0
179,2631,0.0
181,2641,0.0
417,35281,0.0
182,2647,0.0
183,2648,0.0
414,350407,0.0
413,350406,0.0
412,350404,0.0
411,350060,0.0
410,350052,0.0
434,364848,0.0
435,364849,0.0
436,364850,0.0
437,364851,0.0
241,29751,0.0
460,370369,0.0
161,250643,0.0
458,370129,0.0
163,250646,0.0
456,36967,0.0
455,36963,0.0
164,250647,0.0
167,250651,0.0
452,368703,0.0
169,250653,0.0
450,36865,0.0
449,36864,0.0
448,368323,0.0
447,367655,0.0
446,367232,0.0
172,2623,0.0
443,367229,0.0
173,2624,0.0
176,2627,0.0
440,36568,0.0
439,365226,0.0
438,365222,0.0
409,350050,0.0
408,350048,0.0
407,350047,0.0
198,26707,0.0
377,349237,0.0
376,349236,0.0
375,349234,0.0
374,349233,0.0
373,349231,0.0
372,349228,0.0
371,349227,0.0
370,349225,0.0
369,349224,0.0
368,349223,0.0
367,349222,0.0
366,349221,0.0
365,349219,0.0
364,349218,0.0
363,349217,0.0
362,349216,0.0
361,349215,0.0
360,349214,0.0
359,349213,0.0
358,349212,0.0
357,349210,0.0
356,349209,0.0
355,349208,0.0
378,349239,0.0
380,349241,0.0
190,2662,0.0
381,349242,0.0
404,350042,0.0
403,350036,0.0
402,350035,0.0
192,2664,0.0
400,350029,0.0
399,350026,0.0
398,350025,0.0
397,349912,0.0
396,349910,0.0
395,349909,0.0
394,349257,0.0
193,2665,0.0
392,349254,0.0
391,349253,0.0
390,349252,0.0
389,349251,0.0
388,349249,0.0
387,349248,0.0
386,349247,0.0
385,349246,0.0
384,349245,0.0
197,2669,0.0
382,349243,0.0
340,347464,0.0
